,id,type,data
378,TOR201904280,oscorer,moreh701
379,TOR201904280,temp,68
380,TOR201904280,winddir,unknown
381,TOR201904280,windspeed,0
382,TOR201904280,fieldcond,unknown
383,TOR201904280,precip,unknown
384,TOR201904280,sky,dome
385,TOR201904280,timeofgame,236
386,TOR201904280,attendance,18557
387,TOR201904280,wp,lucie001
388,TOR201904280,lp,treib001
389,TOR201904280,save,
390,TOR201905060,visteam,MIN
391,TOR201905060,hometeam,TOR
392,TOR201905060,site,TOR02
393,TOR201905060,date,2019/05/06
394,TOR201905060,number,0
395,TOR201905060,starttime,7:09PM
396,TOR201905060,daynight,night
397,TOR201905060,usedh,true
398,TOR201905060,umphome,hamaa901
399,TOR201905060,ump1b,ticht901
400,TOR201905060,ump2b,cuzzp901
401,TOR201905060,ump3b,hallt901
402,TOR201905060,howscored,park
403,TOR201905060,pitches,pitches
404,TOR201905060,oscorer,starh701
405,TOR201905060,temp,68
406,TOR201905060,winddir,unknown
407,TOR201905060,windspeed,0
408,TOR201905060,fieldcond,unknown
409,TOR201905060,precip,unknown
410,TOR201905060,sky,dome
411,TOR201905060,timeofgame,172
412,TOR201905060,attendance,12292
413,TOR201905060,wp,perem004
414,TOR201905060,lp,strom001
415,TOR201905060,save,
416,TOR201905070,visteam,MIN
417,TOR201905070,hometeam,TOR
418,TOR201905070,site,TOR02
419,TOR201905070,date,2019/05/07
420,TOR201905070,number,0
421,TOR201905070,starttime,7:08PM
422,TOR201905070,daynight,night
423,TOR201905070,usedh,true
424,TOR201905070,umphome,ticht901
425,TOR201905070,ump1b,cuzzp901
426,TOR201905070,ump2b,hallt901
427,TOR201905070,ump3b,hamaa901
428,TOR201905070,howscored,park
429,TOR201905070,pitches,pitches
430,TOR201905070,oscorer,moreh701
431,TOR201905070,temp,68
432,TOR201905070,winddir,unknown
433,TOR201905070,windspeed,0
434,TOR201905070,fieldcond,unknown
435,TOR201905070,precip,unknown
436,TOR201905070,sky,dome
437,TOR201905070,timeofgame,150
438,TOR201905070,attendance,14039
439,TOR201905070,wp,berrj001
440,TOR201905070,lp,sanca006
441,TOR201905070,save,roget001
442,TOR201905080,visteam,MIN
443,TOR201905080,hometeam,TOR
444,TOR201905080,site,TOR02
445,TOR201905080,date,2019/05/08
446,TOR201905080,number,0
447,TOR201905080,starttime,7:07PM
